単語文書行列（TF-IDF)=
単語	キャリーバッグ   コロナ   ダリア    ドンバーベキュー   ファン   フード   ペット マンション    ワン    中原    事件   二ノ宮    付近    仲間    会社    入山    刑事    動物 北アルプス    友人    吉村    周辺   和歌山   多摩川    大阪    家族    容疑    小川    小杉    尾根   山小屋    岐阜    川崎    態度    新型    時代    東京    松本   槍ケ岳   槍ヶ岳    標高    横浜    殺人   毛並み    民放    水中    水深   河川敷    泰平    洋文    消防    満期    犯人    状態    現場   生き物    田口    田辺    男女    男性    番組    疑い    病院    目標    県境    県警    知事    知人    社員    社長   神奈川    私見    竜一    紀州    署員    考え    自宅    自身    英昭    西尾   覚醒剤    記者    警察    貴章    資産    距離    迷い    通常    部屋    都内    酒類    重点    野崎    金銭    長野    隊員    須藤    駄知    驒乗

文書 1 	  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

文書 2 	  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

文書 3 	  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  9.9078  5.2189  2.2040  3.3863  6.6052  0.0000  0.0000  2.6094  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 13.2103  5.2189  7.8283  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.9163  0.0000  6.6052  0.0000  0.0000  1.6931  0.0000  0.0000  0.0000  0.0000  3.3026  1.5108  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  3.3026  6.6052  0.0000  0.0000  0.0000  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  3.3026  3.3026

文書 4 	  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  6.6052  3.3026  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  0.0000  0.0000  0.0000  0.0000  0.0000  5.0794  0.0000  0.0000  0.0000  0.0000  0.0000  1.5108  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  3.3026  0.0000  0.0000  0.0000

文書 5 	  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  1.6931  0.0000  0.0000  0.0000  0.0000  3.8326  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  4.4079  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.2040  0.0000  0.0000  0.0000  3.3026  0.0000  2.2040  0.0000  0.0000  0.0000  0.0000  0.0000  2.6094  1.9163  0.0000  0.0000  0.0000  3.3026  3.3863  0.0000  0.0000  2.2040  0.0000  0.0000  1.5108  0.0000  0.0000  0.0000  0.0000  1.9163  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
