文書番号	文書 1 	文書 2 	文書 3 	文書 4 	文書 5 	文書 6 	文書 7 	文書 8 	文書 9 	文書 10 	

文書 1 	  1.0000  0.4157  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

文書 2 	  0.4157  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0354  0.0000  0.0000

文書 3 	  0.0000  0.0000  1.0000  0.1685  0.0482  0.1351  0.0389  0.0000  0.0105  0.0083

文書 4 	  0.0000  0.0000  0.1685  1.0000  0.1514  0.1811  0.1689  0.0000  0.0406  0.0172

文書 5 	  0.0000  0.0000  0.0482  0.1514  1.0000  0.6267  0.6128  0.0000  0.0847  0.0179

文書 6 	  0.0000  0.0000  0.1351  0.1811  0.6267  1.0000  0.5498  0.0000  0.0520  0.0320

文書 7 	  0.0000  0.0000  0.0389  0.1689  0.6128  0.5498  1.0000  0.0000  0.1833  0.0000

文書 8 	  0.0000  0.0354  0.0000  0.0000  0.0000  0.0000  0.0000  1.0000  0.2395  0.4007

文書 9 	  0.0000  0.0000  0.0105  0.0406  0.0847  0.0520  0.1833  0.2395  1.0000  0.3180

文書 10   0.0000  0.0000  0.0083  0.0172  0.0179  0.0320  0.0000  0.4007  0.3180  1.0000

