文書番号	文書 1 	文書 2 	文書 3 	文書 4 	文書 5 	文書 6 	文書 7 	文書 8 	文書 9 	文書 10 	

文書 1 	  1.0000  0.8955  0.4236  0.3469  0.2873  0.2155  0.1571  0.1378  0.0713  0.0674

文書 2 	  0.8955  1.0000  0.4731  0.3874  0.3208  0.2407  0.1755  0.1590  0.0823  0.0777

文書 3 	  0.4236  0.4731  1.0000  0.9087  0.7896  0.6527  0.4996  0.4405  0.2372  0.2256

文書 4 	  0.3469  0.3874  0.9087  1.0000  0.9002  0.7704  0.6197  0.5453  0.3029  0.2886

文書 5 	  0.2873  0.3208  0.7896  0.9002  1.0000  0.9517  0.8642  0.7594  0.4413  0.4199

文書 6 	  0.2155  0.2407  0.6527  0.7704  0.9517  1.0000  0.9465  0.8311  0.4826  0.4597

文書 7 	  0.1571  0.1755  0.4996  0.6197  0.8642  0.9465  1.0000  0.8777  0.5386  0.5116

文書 8 	  0.1378  0.1590  0.4405  0.5453  0.7594  0.8311  0.8777  1.0000  0.7132  0.7038

文書 9 	  0.0713  0.0823  0.2372  0.3029  0.4413  0.4826  0.5386  0.7132  1.0000  0.9939

文書 10   0.0674  0.0777  0.2256  0.2886  0.4199  0.4597  0.5116  0.7038  0.9939  1.0000

