文書番号	book 1 	book 2 	book 3 	book 4 	book 5 	book 6 	book 7 	book 8 	book 9 	book 10 	

book 1 	   1.000   0.777   0.777   0.482   0.318   0.107   0.532   0.462   0.742   0.713

book 2 	   0.777   1.000   1.000   0.544   0.255   0.172   0.447   0.433   0.587   0.588

book 3 	   0.777   1.000   1.000   0.544   0.255   0.172   0.447   0.433   0.587   0.588

book 4 	   0.482   0.544   0.544   1.000   0.478   0.319   0.310   0.384   0.536   0.585

book 5 	   0.318   0.255   0.255   0.478   1.000   0.362   0.481   0.301   0.448   0.514

book 6 	   0.107   0.172   0.172   0.319   0.362   1.000   0.514   0.384   0.118   0.279

book 7 	   0.532   0.447   0.447   0.310   0.481   0.514   1.000   0.493   0.619   0.714

book 8 	   0.462   0.433   0.433   0.384   0.301   0.384   0.493   1.000   0.485   0.509

book 9 	   0.742   0.587   0.587   0.536   0.448   0.118   0.619   0.485   1.000   0.938

book 10    0.713   0.588   0.588   0.585   0.514   0.279   0.714   0.509   0.938   1.000

